ticker,expiry_time,status,side,price,score,won,pnl_cents,product
KXETH15M-26MAR311430-00,2026-03-31T14:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311445-00,2026-03-31T14:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR311445-00,2026-03-31T14:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311500-00,2026-03-31T15:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR311500-00,2026-03-31T15:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311515-00,2026-03-31T15:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR311515-00,2026-03-31T15:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311530-00,2026-03-31T15:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR311530-00,2026-03-31T15:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311545-00,2026-03-31T15:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR311545-00,2026-03-31T15:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311600-00,2026-03-31T16:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR311600-00,2026-03-31T16:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311615-00,2026-03-31T16:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR311615-00,2026-03-31T16:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311630-00,2026-03-31T16:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR311630-00,2026-03-31T16:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311645-00,2026-03-31T16:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR311645-00,2026-03-31T16:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311700-00,2026-03-31T17:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR311700-00,2026-03-31T17:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311715-00,2026-03-31T17:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR311715-00,2026-03-31T17:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311730-00,2026-03-31T17:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR311730-00,2026-03-31T17:30:00+00:00,rejected,,,,,,
